RED_ID,ethnicity,race,some.high.school,high.school,some.college,technical.or.aa,college,some.graduate.school,post.grad.degree,income
RED_CAT_112,Not Hispanic or Latino,"American Indian or Alaskan Native,Black or African American",,,,Other Parent,,,You,"more than $75,000 per year"
RED_CAT_123,Not Hispanic or Latino,"Black or African American,Asian",,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_128,Not Hispanic or Latino,White or Caucasian,,,,,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_140,Not Hispanic or Latino,White or Caucasian,,Other Parent,,,You,,,"more than $75,000 per year"
RED_CAT_124,Hispanic or Latino,White or Caucasian,,,You,"You,Other Parent",Other Parent,,,"more than $75,000 per year"
RED_CAT_118,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_106,Not Hispanic or Latino,Black or African American,,,,,,You,Other Parent,"more than $75,000 per year"
RED_CAT_120,Not Hispanic or Latino,Black or African American,,,"You,Other Parent",,,,,"$55, 000-$65, 000 per year"
RED_CAT_119,Not Hispanic or Latino,Black or African American,,,"You,Other Parent",,,,,"$55, 000-$65, 000 per year"
RED_CAT_129,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_133,Not Hispanic or Latino,White or Caucasian,,,You,,,,Other Parent,"more than $75,000 per year"
RED_CAT_150,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_135,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_132,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,,,You,"more than $75,000 per year"
RED_CAT_108,Not Hispanic or Latino,Black or African American,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_230,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_149,Not Hispanic or Latino,Black or African American,,,,,You,Other Parent,,"$15, 000-$25, 000 per year"
RED_CAT_137,Hispanic or Latino,"Asian,White or Caucasian",,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_229,Not Hispanic or Latino,White or Caucasian,,,,Other Parent,,,You,"more than $75,000 per year"
RED_CAT_142,Hispanic or Latino,"Black or African American,White or Caucasian",,,,,Other Parent,You,,"$55, 000-$65, 000 per year"
RED_CAT_139,Not Hispanic or Latino,"Black or African American,White or Caucasian",,Other Parent,You,,,,,"$15, 000-$25, 000 per year"
RED_CAT_134,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,You,,"more than $75,000 per year"
RED_CAT_125,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_146,Does not wish to disclose,Does not wish to disclose,,,,,Other Parent,,You,"$65, 000-$75, 000 per year"
RED_CAT_116,Not Hispanic or Latino,Black or African American,,,"You,Other Parent",,,,,"$35, 000-$45, 000 per year"
RED_CAT_117,Not Hispanic or Latino,"Asian,White or Caucasian",,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_114,Not Hispanic or Latino,Asian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_107,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_121,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_144,Hispanic or Latino,"Black or African American,White or Caucasian",,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_147,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_145,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_115,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_111,Not Hispanic or Latino,Black or African American,,,,Other Parent,,You,,
RED_CAT_110,Does not wish to disclose,Black or African American,,Other Parent,,,,,You,"more than $75,000 per year"
RED_CAT_109,Not Hispanic or Latino,"American Indian or Alaskan Native,Black or African American,White or Caucasian",,Other Parent,,,You,,,"$55, 000-$65, 000 per year"
RED_CAT_104,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,You,,,"more than $75,000 per year"
RED_CAT_103,Not Hispanic or Latino,Black or African American,,,,,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_101,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_126,Not Hispanic or Latino,Black or African American,,,,Other Parent,,,You,"more than $75,000 per year"
RED_CAT_127,Not Hispanic or Latino,Black or African American,,,Other Parent,,,,You,"more than $75,000 per year"
RED_CAT_148,Not Hispanic or Latino,White or Caucasian,,,,,You,,Other Parent,"more than $75,000 per year"
RED_CAT_237,Not Hispanic or Latino,Black or African American,,Other Parent,,,,,You,"less than $15,000 per year"
RED_CAT_152,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_151,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
