Subj	Age	social	like	attention	hardguess	likeguess	wantsee	agreed
RED_CAT_107	12.63	Peer	5	5	1	5	5	5
RED_CAT_107	12.63	Character	3	4	1	4	3	5
RED_CAT_108	11.47	Peer	3	2	5	5	3	3
RED_CAT_108	11.47	Character	3	4	5	5	2	4
RED_CAT_110	12.95	Peer	5	3	1	4	3	4
RED_CAT_110	12.95	Character	3	3	1	4	3	3
RED_CAT_111	11.17	Peer	5	5	2	5	5	5
RED_CAT_111	11.17	Character	3	4	2	3	3	4
RED_CAT_112	12.04	Peer	4	3	1	3	3	2
RED_CAT_112	12.04	Character	3	4	1	2	1	3
RED_CAT_115	10.13	Peer	5	4	1	4	5	5
RED_CAT_115	10.13	Character	5	4	2	5	5	5
RED_CAT_116	12.33	Peer	5	2	4	1	5	5
RED_CAT_116	12.33	Character	1	3	3	2	5	5
RED_CAT_117	11.91	Peer	5	4	2	5	5	4
RED_CAT_117	11.91	Character	4	4	1	5	5	5
RED_CAT_118	11.21	Peer	4	4	2	3	4	4
RED_CAT_118	11.21	Character	3	3	2	3	4	4
RED_CAT_123	10.42	Peer	5	4	3	4	5	5
RED_CAT_123	10.42	Character	3	2	3	4	5	4
RED_CAT_124	12.14	Peer	4	4	1	3	3	4
RED_CAT_124	12.14	Character	2	2	1	2	3	3
RED_CAT_125	10.44	Peer	3	3	3	2	2	3
RED_CAT_125	10.44	Character	2	3	1	3	1	3
RED_CAT_127	10.24	Peer	5	2	1	5	5	5
RED_CAT_127	10.24	Character	3	2	3	5	5	5
RED_CAT_132	10.31	Peer	3	4	1	3	2	3
RED_CAT_132	10.31	Character	1	3	1	2	2	3
RED_CAT_133	10.36	Peer	4	5	3	4	4	5
RED_CAT_133	10.36	Character	1	3	3	4	2	2
RED_CAT_134	9.42	Peer	5	5	3	3	5	5
RED_CAT_134	9.42	Character	3	4	1	2	5	5
RED_CAT_135	8.41	Peer	4	4	1	3	4	4
RED_CAT_135	8.41	Character	2	3	2	1	4	4
RED_CAT_139	9.98	Peer	2	4	5	2	4	4
RED_CAT_139	9.98	Character	5	5	1	1	4	5
RED_CAT_144	9.87	Peer	5	4	1	4	4	5
RED_CAT_144	9.87	Character	2	2	1	3	2	3
RED_CAT_145	9.78	Peer	4	3	2	4	5	4
RED_CAT_145	9.78	Character	3	4	2	3	3	4
RED_CAT_147	9.55	Peer	4	3	2	3	3	3
RED_CAT_147	9.55	Character	3	2	1	3	4	3
RED_CAT_148	9.5	Peer	5	4	2	5	4	4
RED_CAT_148	9.5	Character	3	3	1	3	2	3
RED_CAT_149	8.24	Peer	5	5	4	4	5	5
RED_CAT_149	8.24	Character	1	3	1	5	2	3
RED_CAT_150	8.89	Peer	5	4	3	4	4	5
RED_CAT_150	8.89	Character	2	3	3	3	4	4
RED_CAT_152	9.98	Peer	4	4	4	4	4	4
RED_CAT_152	9.98	Character	2	2	1	4	3	4
RED_CAT_155	11.42	Peer	5	4	2	4	5	4
RED_CAT_155	11.42	Character	4	4	2	4	5	4
RED_CAT_157	11.51	Peer	4	3	1	4	4	5
RED_CAT_157	11.51	Character	2	4	1	4	2	4
RED_CMNT_123	10.84	Peer	4	3	2	3	4	3
RED_CMNT_123	10.84	Character	3	3	2	3	3	3
RED_CMNT_125	11.14	Peer	5	5	1	5	5	5
RED_CMNT_125	11.14	Character	3	4	1	4	3	4
RED_CMNT_128	9.06	Peer	5	4	3	4	4	5
RED_CMNT_128	9.06	Character	3	3	4	4	3	4
RED_CMNT_129	8.78	Peer	3	4	3	5	5	5
RED_CMNT_129	8.78	Character	5	4	3	5	5	5
RED_CMNT_130	11.02	Peer	5	4	2	4	4	5
RED_CMNT_130	11.02	Character	3	2	2	2	3	5
RED_CMNT_136	10.44	Peer	3	4	4	3	3	3
RED_CMNT_136	10.44	Character	4	3	1	2	2	4
RED_CMNT_137	12.97	Peer	4	4	1	5	5	5
RED_CMNT_137	12.97	Character	2	5	1	2	3	3
RED_CMNT_138	10.52	Peer	5	4	2	4	5	4
RED_CMNT_138	10.52	Character	4	5	4	3	3	5
RED_CMNT_140	9.14	Peer	5	5	4	5	5	5
RED_CMNT_140	9.14	Character	3	5	5	4	5	5
RED_CMNT_142	8.76	Peer	5	4	3	3	5	3
RED_CMNT_142	8.76	Character	3	4	3	5	5	5
RED_CMNT_144	8.96	Peer	4	5	2	4	3	4
